frame,trajectory,dx,dy,deflection,nanometers,
1,1,0.030085215,0.070014106,0.07620429909510001,5.562913833942301
1,2,1.212921062,-1.902944627,2.2566292907944314,164.7339382279935
1,3,0.050814592,-0.342001038,0.3457554522393015,25.240148013469007
1,4,1.514631123,-1.074499606,1.857055960937741,135.5650851484551
1,5,0.257707406,0.076408246,0.26879606984486465,19.62211309867512
1,6,-0.112073718,2.365489696,2.368143158710747,172.87445058588455
1,7,0.839036604,1.027501498,1.326552581409458,96.83833844289045
1,8,1.072922340,-2.129038438,2.384107174216913,174.03982371783465
1,9,-0.037955632,-0.222016117,0.22523717767783613,16.442313970482036
1,10,-0.051471651,-0.177298455,0.18461872332472898,13.477166802705215
1,11,0.590406595,0.588644224,0.833715760837023,60.861250541102685
1,12,5.617837528,-2.287970202,6.0658804914245605,442.80927587399293
1,13,-0.065463528,0.306187517,0.31310744013011266,22.856843129498223
1,14,-0.024368390,-0.060231064,0.06497383705588115,4.743090105079324
1,15,-0.481803959,-0.785145215,0.9211883974223025,67.24675301182809
1,16,0.110240870,-0.204910950,0.2326833617778878,16.98588540978581
1,17,0.924442744,-0.716567653,1.169642504468856,85.38390282622649
1,18,0.155371826,-0.245148481,0.29023814713297363,21.187384740707074
1,19,-0.066549788,-0.050952285,0.08381533051635702,6.1185191276940625
1,20,-0.092490891,-0.372106759,0.3834292698940157,27.990336702263146
